wth: ['වත්', 'වෙත', 'වාත']
wta: ['වැට', 'වට', 'වටා']
ws: ['වස්', 'වසා', 'වෙස්']
ws: ['වස්', 'වසා', 'වෙස']
ws: ['වස්', 'වස', 'වෙස්']
ws: ['වස්', 'වස', 'වෙස']
wrna: ['වෙන', 'වර්ණ', 'වාරණ']
wray: ['වරාය', 'වීරයා', 'වාරය']
wraya: ['වාරය', 'වීරයා', 'වරාය']
wna: ['වන', 'වාන', 'වෙන']
wg: ['වාගේ', 'වාග්', 'වගේ']
wg: ['වාගේ', 'වාග්', 'වග']
we: ['වී', 'වේ', 'වෑ']
wer: ['වීර', 'වැර', 'වෙර']
wera: ['වෙර', 'වැර', 'වීර']
well: ['වෙල්ල', 'වැල්ල', 'වේල්ල']
wella: ['වැල්ල', 'වේල්ල', 'වෙල්ල']
wed: ['වේද', 'වෙද', 'වැඩ']
wed: ['වේද', 'වෙද', 'වැඩේ']
weda: ['වැඩ', 'වේද', 'වෙද']
wdn: ['වේදනා', 'වැඩෙන', 'වදන']
wdna: ['වදන', 'වේදනා', 'වැඩෙන']
wat: ['වටා', 'වත්', 'වට']
wat: ['වටා', 'වත්', 'වටේ']
wal: ['වලා', 'වළ', 'වල්']
wal: ['වලා', 'වළ', 'වල']
wal: ['වලා', 'වළා', 'වල්']
wal: ['වලා', 'වළා', 'වල']
wala: ['වල', 'වලා', 'වළ']
wala: ['වල', 'වලා', 'වළා']
wag: ['වාග්', 'වාගේ', 'වගේ']
wag: ['වාග්', 'වාගේ', 'වග']
wada: ['වඩා', 'වද', 'වාද']
un: ['උණ', 'ඌන', 'උනා']
una: ['ඌන', 'උනා', 'උණ']
th: ['ත්', 'තේ', 'තෝ']
tharanga: ['තරග', 'තරංග', 'තරඟ']
thal: ['තාල', 'තලා', 'තල']
thal: ['තාල', 'තලා', 'තල්']
thala: ['තල', 'තලා', 'තාල']
thth: ['තෙත්', 'තෙත', 'තත්']
thk: ['තෙක්', 'තාක්', 'තකා']
sw: ['ස්ව', 'සේවා', 'සැව']
swa: ['සේවා', 'ස්ව', 'සැව']
swan: ['සවන්', 'සෙවන', 'සෙවණ']
swn: ['සවන්', 'සෙවණ', 'සෙවන']
sur: ['සුර', 'සූර', 'සුරා']
sura: ['සූර', 'සුරා', 'සුර']
stha: ['සීත', 'සැත', 'සත']
stha: ['සීත', 'සැත', 'සතා']
sp: ['සැප', 'සපා', 'සප්']
smn: ['සමන්', 'සමාන', 'සෙමෙන්']
se: ['සෑ', 'සී', 'සේ']
seth: ['සීත', 'සෙත්', 'සැත']
sena: ['සේනා', 'සේන', 'සැණ']
sed: ['සැදී', 'සේද', 'සැඩ']
saya: ['සය', 'සහ', 'සාය']
sar: ['සාර', 'සරා', 'සර']
sara: ['සරා', 'සාර', 'සර']
sama: ['සම', 'සාම', 'සෑම']
sal: ['සාල', 'සල', 'සල්']
sad: ['සදා', 'සාද', 'සද']
sada: ['සද', 'සදා', 'සාද']
r: ['ර', 'රා', 'රෝ']
rs: ['රස', 'රෝස', 'රැස්']
rs: ['රස', 'රෝස', 'රැස']
rsa: ['රස', 'රෝස', 'රැස']
rn: ['රන්', 'රොන්', 'රණ']
rla: ['රැල', 'රළ', 'රැළ']
pwa: ['පවා', 'පව', 'පාව']
purn: ['පුරාණ', 'පූර්ණ', 'පුර්ණ']
purna: ['පුරාණ', 'පුර්ණ', 'පූර්ණ']
pt: ['පට', 'පාට', 'පොට']
pta: ['පාට', 'පට', 'පොට']
ptay: ['පාඨය', 'පීඨය', 'පටය']
ptaya: ['පාඨය', 'පීඨය', 'පටය']
pthth: ['පෙත්ත', 'පැත්ත', 'පොත්ත']
pththa: ['පොත්ත', 'පැත්ත', 'පෙත්ත']
pty: ['පටය', 'පීඨය', 'පාඨය']
ptya: ['පටය', 'පාඨය', 'පීඨය']
ps: ['පාසා', 'පැස', 'පස']
ps: ['පාසා', 'පැස', 'පස්']
psa: ['පාසා', 'පැස', 'පස']
prm: ['පරම', 'පාරමී', 'පාරම']
pram: ['පරම', 'පාරමී', 'පාරම']
plu: ['පාළු', 'පාලු', 'පලු']
pll: ['පොල්ල', 'පල්ල', 'පළල']
pll: ['පොල්ල', 'පල්ල', 'පළල්']
plla: ['පල්ල', 'පළල', 'පොල්ල']
per: ['පෙර', 'පේර', 'පීර']
pera: ['පෙර', 'පීර', 'පේර']
pena: ['පෙණ', 'පීන', 'පෑන']
pd: ['පද', 'පීඩා', 'පාද']
pda: ['පීඩා', 'පාද', 'පද']
pdi: ['පැදි', 'පඩි', 'පොඩි']
pawa: ['පව', 'පාව', 'පවා']
patha: ['පතා', 'පාත', 'පත']
para: ['පාර', 'පෙර', 'පර']
param: ['පාරමී', 'පාරම', 'පරම']
parm: ['පරම', 'පාරම', 'පාරමී']
pana: ['පණ', 'පාන', 'පන']
palu: ['පාලු', 'පලු', 'පාළු']
pala: ['පලා', 'පළ', 'පල']
ny: ['නාය', 'ණය', 'නයා']
ny: ['නාය', 'ණය', 'නය']
nya: ['ණය', 'නාය', 'නයා']
nya: ['ණය', 'නාය', 'නය']
nw: ['නොවේ', 'නව', 'නැවේ']
nw: ['නොවේ', 'නව', 'නැව']
nth: ['නෙත', 'නාථ', 'නැත']
ntha: ['නැත', 'නාථ', 'නෙත']
nna: ['නෝනා', 'නැණ', 'නානා']
niws: ['නිවාස', 'නිවස', 'නිවෙස']
niwsa: ['නිවාස', 'නිවෙස', 'නිවස']
nay: ['නාය', 'ණය', 'නයා']
nay: ['නාය', 'ණය', 'නය']
naya: ['නාය', 'ණය', 'නයා']
naya: ['නාය', 'ණය', 'නය']
my: ['මායා', 'මෙය', 'මීය']
mya: ['මෙය', 'මීය', 'මායා']
mthk: ['මතක', 'මෙතෙක්', 'මාතෘකා']
ms: ['මෙසේ', 'මේස', 'මස']
ms: ['මෙසේ', 'මේස', 'මස්']
mr: ['මාර', 'මර', 'මැර']
mra: ['මැර', 'මාර', 'මර']
mnw: ['මානව', 'මනාව', 'මොනවා']
mnwa: ['මනාව', 'මොනවා', 'මානව']
mnaw: ['මොනවා', 'මනාව', 'මානව']
mnawa: ['මනාව', 'මානව', 'මොනවා']
mm: ['මෙම', 'මාමා', 'මම']
